itemID,Product,Quantity,First Name,Last Name,Phonenumber,Email
675,Car,3,Bill,Jones,515-618-7125,bill@yahoo.com
2341,TV,32,Lebron,James,156-745-2526,goat@gmail.com
5678,Phone,556,Felix,Strum,234-566-2345,adnan@yahoo.com
543687,Bannana,55,John,Cena,942-454-6666,JohnCena@outlook.com
8856,Dog,69,Carlito,Guerro,123-456-7890,carlitoguerro123@email.com
6345,Pencil,53,Primo,Guerro,987-654-3210,primoguerro456@email.com
5746,Cow,44,Umaga,Johnson,555-123-4567,umagajohnson789@email.com
456,Poster,223,Edge,Christian,789-012-3456,edgechristian101@email.com
786,Cup,1,Stone,Cold,658-552-6425,stonecold808@email.com
768,Manga,5897,Matt,Hardy,876-543-2109,matthardy303@email.com
4,Basketball,389,Rey,Mysterio,321-098-7654,reymysterio404@email.com
78,Baseball,74,Mark,Henry,456-789-0123,markhenry505@email.com
44,Tabs,60,Terry,Paul,586-855-5625,terry@gmail.com
